tipo_doc,cpf,nome_aluno,turma_1,turma_2,ausencia_inicio,ausencia_fim,data_ausencia
ATESTADO MEDICO,23879333114,GUSTAVO REZENDE,0052,0981,2024-03-06,2024-03-12,2024-03-06 00:00:00
ATESTADO MEDICO,94458330152,JESSICA CARDOSO,0980,,2023-03-17,2023-03-26,2023-03-17 00:00:00
ATESTADO MEDICO,82208860217,MAURICIO LIMA,0100,0051,2026-02-17,2026-02-21,2026-02-17 00:00:00
ATESTADO MEDICO,92999606907,DEBORA FONSECA,0001,0002,2026-12-26,2027-01-03,2026-12-25 00:00:00
ATESTADO MEDICO,77523464629,ANDRE BARROS,0454,,2024-09-03,2024-09-04,2024-09-03 00:00:00
DECLARACAO,98957042164,ROSANA ROCHA,1981,2981,2025-05-13,2025-05-15,2025-05-11 00:00:00
DECLARACAO,30781125782,JOAO SILVA,0263,,2025-09-15,2025-09-25,2025-09-13 00:00:00
ATESTADO MEDICO,85472876125,RAFAEL PEREIRA,1983,,2023-08-17,2023-08-20,2023-08-15 00:00:00
ATESTADO MEDICO,04040833740,CESAR RAMOS,0003,0981,2025-08-02,2025-08-03,2025-08-02 00:00:00
ATESTADO MEDICO,33246330107,TATIANA SILVA,0005,,2024-11-26,2024-11-28,2024-11-24 00:00:00
ATESTADO MEDICO,20168449579,RAFAEL PEREIRA,1980,,2026-07-18,2026-07-20,2026-07-17 00:00:00
ATESTADO MEDICO,15149372471,DANIELA XAVIER,2980,0981,2024-10-15,2024-10-19,2024-10-15 00:00:00
ATESTADO MEDICO,86402505960,VIVIANE MONTEIRO,1981,1981,2024-02-27,2024-03-02,2024-02-26 00:00:00
ATESTADO MEDICO,75038702228,DANIELA XAVIER,0050,0002,2026-12-07,2026-12-17,2026-12-06 00:00:00
ATESTADO MEDICO,00945398204,ALESSANDRA FREITAS,0001,2981,2024-12-10,2024-12-16,2024-12-10 00:00:00
DECLARACAO,29062231900,JOAO SILVA,0050,0451,2025-05-22,2025-05-31,2025-05-21 00:00:00
ATESTADO MEDICO,13816482902,MARCELO LIMA,0104,2981,2026-11-12,2026-11-21,2026-11-12 00:00:00
DECLARACAO,01361820110,BRUNO RIBEIRO,0103,0981,2026-03-14,2026-03-17,2026-03-14 00:00:00
ATESTADO MEDICO,77964826123,RICARDO RAMOS,0102,,2023-02-04,2023-02-05,2023-02-04 00:00:00
DECLARACAO,22643771001,MONICA VIEIRA,0002,,2024-06-19,2024-06-28,2024-06-19 00:00:00
ATESTADO MEDICO,46328934203,EDUARDO FREITAS,0052,,2025-04-01,2025-04-07,2025-04-01 00:00:00
ATESTADO MEDICO,39577233295,CAMILA GOMES,1982,0051,2026-12-30,2027-01-08,2026-12-30 00:00:00
DECLARACAO,84918401090,CRISTINA ALVES,0001,0101,2026-10-26,2026-10-29,2026-10-25 00:00:00
ATESTADO MEDICO,00215941470,MARIA SANTOS,0005,0002,2024-08-21,2024-08-23,2024-08-20 00:00:00
DECLARACAO,10153894490,JULIA RODRIGUES,0100,0002,2025-09-24,2025-09-27,2025-09-24 00:00:00
ATESTADO MEDICO,89987146201,EDUARDO FREITAS,0053,,2026-01-26,2026-01-30,2026-01-25 00:00:00
ATESTADO MEDICO,81918341117,ANDREIA CUNHA,1981,2981,2025-01-09,2025-01-19,2025-01-08 00:00:00
ATESTADO MEDICO,92519199172,PATRICIA ROCHA,0453,0051,2025-12-30,2026-01-06,2025-12-28 00:00:00
DECLARACAO,19518615586,LARISSA CARVALHO,0260,0051,2024-05-06,2024-05-15,2024-05-05 00:00:00
DECLARACAO,16560025071,GUSTAVO REZENDE,0453,,2023-02-06,2023-02-12,2023-02-05 00:00:00
ATESTADO MEDICO,33049259701,CAROLINA NUNES,0454,0981,2026-05-24,2026-05-25,2026-05-24 00:00:00
ATESTADO MEDICO,89058289222,EVANDRO COSTA,1981,1981,2023-08-18,2023-08-20,2023-08-18 00:00:00
DECLARACAO,16234767710,CLAUDIO FERREIRA,0005,0002,2025-11-21,2025-11-27,2025-11-19 00:00:00
ATESTADO MEDICO,48304312107,MARCELO CORREIA,0983,1981,2025-08-31,2025-09-06,2025-08-29 00:00:00
DECLARACAO,88878162809,GUSTAVO REZENDE,0102,0101,2023-06-17,2023-06-21,2023-06-16 00:00:00
ATESTADO MEDICO,23268452850,ALINE MORAES,0102,0981,2025-01-21,2025-01-26,2025-01-19 00:00:00
DECLARACAO,94458330152,SILVIA LOPES,0004,,2024-11-19,2024-11-26,2024-11-19 00:00:00
DECLARACAO,00026667070,DANIEL CARDOSO,0263,2981,2025-01-08,2025-01-10,2025-01-08 00:00:00
ATESTADO MEDICO,01929848374,ROGERIO SOUZA,2981,,2025-12-27,2026-01-06,2025-12-26 00:00:00
ATESTADO MEDICO,05722102644,RODRIGO SALES,2981,,2023-05-01,2023-05-07,2023-05-01 00:00:00
ATESTADO MEDICO,27794880343,MARCELO CORREIA,0100,0261,2024-07-17,2024-07-27,2024-07-17 00:00:00
ATESTADO MEDICO,13732730468,HENRIQUE MENDES,0002,0261,2025-11-19,2025-11-28,2025-11-17 00:00:00
ATESTADO MEDICO,12749324831,ANDERSON PEREIRA,0262,0981,2023-10-23,2023-11-02,2023-10-23 00:00:00
ATESTADO MEDICO,26530966501,ROSANA ROCHA,0102,0002,2024-08-16,2024-08-26,2024-08-16 00:00:00
ATESTADO MEDICO,48926799921,FLAVIA MIRANDA,0103,0261,2023-03-31,2023-04-03,2023-03-29 00:00:00
DECLARACAO,06301028996,RICARDO RAMOS,0003,,2024-04-19,2024-04-28,2024-04-17 00:00:00
ATESTADO MEDICO,20467112118,SILVIA LOPES,0001,1981,2025-02-15,2025-02-25,2025-02-15 00:00:00
ATESTADO MEDICO,85468210541,RENATO FERNANDES,0005,0002,2025-04-17,2025-04-23,2025-04-16 00:00:00
ATESTADO MEDICO,46716558373,ALESSANDRA FREITAS,0001,0981,2023-03-06,2023-03-08,2023-03-04 00:00:00
ATESTADO MEDICO,58880896563,NATALIA CAMPOS,1982,,2024-10-08,2024-10-09,2024-10-07 00:00:00
ATESTADO MEDICO,76408738354,PATRICIA ROCHA,0100,0981,2024-03-30,2024-04-07,2024-03-28 00:00:00
ATESTADO MEDICO,43758031427,HENRIQUE MENDES,0262,1981,2025-01-08,2025-01-10,2025-01-07 00:00:00
ATESTADO MEDICO,18754176301,ANDRE BARROS,0983,1981,2025-04-28,2025-05-07,2025-04-26 00:00:00
ATESTADO MEDICO,26118795592,FABIANO BATISTA,0001,0002,2025-08-30,2025-09-02,2025-08-29 00:00:00
ATESTADO MEDICO,62637667516,ADRIANA LOPES,0004,2981,2024-08-13,2024-08-17,2024-08-12 00:00:00
ATESTADO MEDICO,89925989558,SILVIA LOPES,0981,0981,2025-09-12,2025-09-19,2025-09-10 00:00:00
ATESTADO MEDICO,40685883175,CAMILA GOMES,2982,2981,2023-12-21,2023-12-27,2023-12-20 00:00:00
DECLARACAO,30095966692,EDSON FERNANDES,0981,1981,2026-03-21,2026-03-30,2026-03-19 00:00:00
ATESTADO MEDICO,98601695353,PEDRO OLIVEIRA,1980,2981,2026-04-08,2026-04-15,2026-04-08 00:00:00
ATESTADO MEDICO,04040833740,FERNANDO MENDES,0451,,2023-06-19,2023-06-28,2023-06-19 00:00:00
ATESTADO MEDICO,81918341117,FERNANDA SOUZA,0260,0451,2024-04-11,2024-04-20,2024-04-11 00:00:00
ATESTADO MEDICO,51490546235,ISABELA CUNHA,0051,2981,2025-07-16,2025-07-25,2025-07-14 00:00:00
ATESTADO MEDICO,12041836270,PRISCILA NEVES,0263,0101,2024-04-16,2024-04-18,2024-04-15 00:00:00
ATESTADO MEDICO,67851664110,LEANDRO ARAUJO,0103,0101,2024-02-23,2024-02-24,2024-02-23 00:00:00
DECLARACAO,71674960069,LEANDRO ARAUJO,0453,1981,2024-09-01,2024-09-05,2024-08-30 00:00:00
DECLARACAO,88490416249,PATRICIA AZEVEDO,0053,,2026-08-26,2026-08-27,2026-08-26 00:00:00
ATESTADO MEDICO,53831765510,DEBORA FONSECA,0262,,2023-10-17,2023-10-23,2023-10-17 00:00:00
ATESTADO MEDICO,24348251681,JEFFERSON DUARTE,0450,0451,2025-09-29,2025-10-05,2025-09-28 00:00:00
DECLARACAO,72115515005,SERGIO RIBAS,0452,2981,2024-03-24,2024-04-03,2024-03-23 00:00:00
ATESTADO MEDICO,17235954035,DANIELA XAVIER,0450,0051,2023-08-30,2023-09-06,2023-08-29 00:00:00
DECLARACAO,78978012256,ANA COSTA,2980,0051,2023-12-31,2024-01-06,2023-12-31 00:00:00
ATESTADO MEDICO,46442316300,MARCELO LIMA,0981,,2024-03-29,2024-03-31,2024-03-29 00:00:00
ATESTADO MEDICO,05637803048,LUCAS FERREIRA,0104,0002,2026-08-10,2026-08-13,2026-08-08 00:00:00
DECLARACAO,81710774800,RICARDO RAMOS,0005,0451,2024-03-23,2024-03-28,2024-03-22 00:00:00
ATESTADO MEDICO,45918769501,MARCELO CORREIA,0981,0451,2025-03-15,2025-03-23,2025-03-13 00:00:00
DECLARACAO,30784046093,RONALDO RIBAS,0452,,2024-07-11,2024-07-14,2024-07-09 00:00:00
ATESTADO MEDICO,34953699025,SERGIO RIBAS,1982,2981,2025-08-19,2025-08-28,2025-08-18 00:00:00
ATESTADO MEDICO,88059689274,CAMILA GOMES,0050,,2023-06-23,2023-07-01,2023-06-22 00:00:00
DECLARACAO,19518615586,ANDERSON PEREIRA,2980,,2027-01-07,2027-01-14,2027-01-05 00:00:00
ATESTADO MEDICO,90003475808,JEFFERSON DUARTE,0452,0261,2023-05-23,2023-05-30,2023-05-21 00:00:00
ATESTADO MEDICO,87226199416,HENRIQUE MENDES,2983,0261,2023-03-04,2023-03-13,2023-03-03 00:00:00
ATESTADO MEDICO,89289153253,NATALIA CAMPOS,0053,0051,2025-06-09,2025-06-17,2025-06-08 00:00:00
ATESTADO MEDICO,56711949897,DANIEL CARDOSO,0982,,2025-11-03,2025-11-09,2025-11-02 00:00:00
ATESTADO MEDICO,75784957040,MARIANA TEIXEIRA,0005,,2024-11-19,2024-11-25,2024-11-18 00:00:00
DECLARACAO,16855621163,JEFFERSON DUARTE,0050,1981,2024-12-14,2024-12-17,2024-12-14 00:00:00
DECLARACAO,39682863406,TATIANA SILVA,1983,0981,2026-11-09,2026-11-15,2026-11-07 00:00:00
ATESTADO MEDICO,47241342160,ANDREA FARIAS,0053,0051,2026-09-30,2026-10-08,2026-09-29 00:00:00
ATESTADO MEDICO,02021661989,RONALDO RIBAS,0001,0002,2025-01-13,2025-01-14,2025-01-13 00:00:00
ATESTADO MEDICO,60247940453,ANDREIA CUNHA,0101,0051,2023-05-07,2023-05-14,2023-05-06 00:00:00
DECLARACAO,26118795592,PRISCILA NEVES,0053,,2025-11-10,2025-11-14,2025-11-10 00:00:00
DECLARACAO,59281681447,MARCELO CORREIA,0260,0451,2026-10-26,2026-11-03,2026-10-25 00:00:00
ATESTADO MEDICO,48700867861,PRISCILA NEVES,0260,0981,2025-01-20,2025-01-25,2025-01-20 00:00:00
ATESTADO MEDICO,40685883175,RAQUEL XAVIER,0982,0002,2025-09-14,2025-09-17,2025-09-12 00:00:00
ATESTADO MEDICO,60357275659,FABIANO BATISTA,0983,0981,2026-09-06,2026-09-14,2026-09-05 00:00:00
ATESTADO MEDICO,49197254851,ROBERTO CARVALHO,0002,2981,2023-10-21,2023-10-25,2023-10-19 00:00:00
ATESTADO MEDICO,89079277401,LUCAS FERREIRA,2983,0051,2025-05-03,2025-05-04,2025-05-03 00:00:00
DECLARACAO,19518615586,PAULO SANTANA,0100,,2025-12-07,2025-12-12,2025-12-05 00:00:00
ATESTADO MEDICO,15170611480,GABRIEL MARTINS,0452,0981,2026-05-09,2026-05-19,2026-05-08 00:00:00
DECLARACAO,36519694525,THIAGO MOREIRA,0262,0051,2026-11-14,2026-11-21,2026-11-12 00:00:00
ATESTADO MEDICO,23554340774,LUCIANA FARIAS,0100,,2024-10-31,2024-11-03,2024-10-31 00:00:00
DECLARACAO,33071962002,MARIANA TEIXEIRA,0103,2981,2023-12-21,2023-12-23,2023-12-19 00:00:00
ATESTADO MEDICO,88987214478,EVANDRO COSTA,0980,0101,2025-02-15,2025-02-20,2025-02-14 00:00:00
ATESTADO MEDICO,46716558373,CLAUDIA SOARES,0982,2981,2025-05-04,2025-05-05,2025-05-04 00:00:00
ATESTADO MEDICO,89987146201,JULIA RODRIGUES,0454,0981,2026-04-02,2026-04-03,2026-03-31 00:00:00
DECLARACAO,05722102644,CLAUDIO FERREIRA,1982,0002,2023-09-29,2023-10-04,2023-09-28 00:00:00
ATESTADO MEDICO,13732730468,THIAGO MOREIRA,2982,0451,2026-09-21,2026-09-30,2026-09-19 00:00:00
DECLARACAO,92519199172,PAULA MIRANDA,0261,2981,2023-08-10,2023-08-18,2023-08-09 00:00:00
ATESTADO MEDICO,81506221874,CARLOS ALMEIDA,1982,0261,2026-03-11,2026-03-21,2026-03-11 00:00:00
ATESTADO MEDICO,49484406980,EDUARDO FREITAS,0002,0101,2025-02-24,2025-03-03,2025-02-24 00:00:00
DECLARACAO,09352413105,ELAINE BARBOSA,0982,0261,2024-07-24,2024-08-02,2024-07-22 00:00:00
ATESTADO MEDICO,78736022659,BRUNO RIBEIRO,0102,,2024-02-10,2024-02-12,2024-02-08 00:00:00
ATESTADO MEDICO,24046932988,MARIA SANTOS,1981,0981,2026-04-22,2026-04-24,2026-04-22 00:00:00
ATESTADO MEDICO,39577233295,ISABELA CUNHA,0051,0002,2024-06-16,2024-06-22,2024-06-14 00:00:00
ATESTADO MEDICO,11886940061,CAROLINA CAMPOS,0052,0451,2023-10-24,2023-10-28,2023-10-24 00:00:00
ATESTADO MEDICO,44497051811,BIANCA MONTEIRO,0104,1981,2024-03-17,2024-03-24,2024-03-17 00:00:00
DECLARACAO,88062062490,RENAN MELO,0261,2981,2023-08-02,2023-08-08,2023-08-01 00:00:00
ATESTADO MEDICO,84470285269,PRISCILA NEVES,2981,,2026-02-02,2026-02-10,2026-02-01 00:00:00
DECLARACAO,49020493418,VIVIANE MONTEIRO,0454,0002,2024-03-19,2024-03-21,2024-03-18 00:00:00
DECLARACAO,43495266330,FABIO BATISTA,1981,,2026-11-23,2026-12-02,2026-11-22 00:00:00
ATESTADO MEDICO,66454997103,CRISTINA ALVES,0983,0101,2023-05-26,2023-05-28,2023-05-26 00:00:00
ATESTADO MEDICO,07893912103,SILVIA LOPES,0451,0051,2024-10-10,2024-10-14,2024-10-08 00:00:00
DECLARACAO,16236172196,JESSICA CARDOSO,2983,,2024-03-01,2024-03-11,2024-03-01 00:00:00
ATESTADO MEDICO,73250934208,JULIA RODRIGUES,0452,1981,2024-05-20,2024-05-22,2024-05-20 00:00:00
DECLARACAO,63401658859,EDUARDO FREITAS,0982,0451,2024-04-02,2024-04-04,2024-04-02 00:00:00
ATESTADO MEDICO,14738435965,PATRICIA AZEVEDO,0052,,2025-11-27,2025-12-07,2025-11-26 00:00:00
ATESTADO MEDICO,87609515914,LUCAS FERREIRA,0982,,2024-02-27,2024-03-05,2024-02-26 00:00:00
DECLARACAO,81506221874,ALINE MORAES,0453,1981,2024-11-08,2024-11-10,2024-11-08 00:00:00
ATESTADO MEDICO,58880896563,ROBERTO CARVALHO,0983,1981,2023-03-08,2023-03-11,2023-03-06 00:00:00
ATESTADO MEDICO,66708525097,EVANDRO COSTA,0452,0051,2025-01-15,2025-01-19,2025-01-15 00:00:00
DECLARACAO,36833417180,ELAINE BARBOSA,0451,,2023-01-18,2023-01-20,2023-01-18 00:00:00
ATESTADO MEDICO,50599581328,RODRIGO CAVALCANTI,0980,2981,2024-05-01,2024-05-05,2024-05-01 00:00:00
ATESTADO MEDICO,25760943685,PATRICIA AZEVEDO,0260,,2025-01-04,2025-01-14,2025-01-02 00:00:00
DECLARACAO,22120967555,EDSON FERNANDES,0454,1981,2025-08-09,2025-08-12,2025-08-07 00:00:00
ATESTADO MEDICO,96398282116,LEONARDO DUARTE,0051,,2024-09-29,2024-10-09,2024-09-27 00:00:00
ATESTADO MEDICO,55297354870,RENAN MELO,0104,0051,2024-05-30,2024-06-06,2024-05-29 00:00:00
ATESTADO MEDICO,15170611480,LUCAS FERREIRA,2981,,2023-06-20,2023-06-21,2023-06-19 00:00:00
ATESTADO MEDICO,52236858493,JESSICA CARDOSO,0981,0451,2025-10-06,2025-10-13,2025-10-05 00:00:00
ATESTADO MEDICO,27269177040,EDSON FERNANDES,0101,,2026-08-21,2026-08-29,2026-08-20 00:00:00
ATESTADO MEDICO,46030351524,SIMONE PIRES,2980,0101,2026-09-12,2026-09-13,2026-09-10 00:00:00
ATESTADO MEDICO,70181547317,RICARDO RAMOS,0004,0981,2025-12-03,2025-12-12,2025-12-02 00:00:00
ATESTADO MEDICO,13050226102,VANESSA PIRES,1980,1981,2026-08-02,2026-08-12,2026-07-31 00:00:00
DECLARACAO,36833417180,BEATRIZ LIMA,0980,,2023-08-19,2023-08-25,2023-08-19 00:00:00
ATESTADO MEDICO,02795017229,VITOR ARAUJO,0983,0101,2023-09-07,2023-09-13,2023-09-05 00:00:00
DECLARACAO,85472876125,CLAUDIO FERREIRA,0051,0261,2026-08-29,2026-09-07,2026-08-27 00:00:00
ATESTADO MEDICO,67066944526,LEANDRO ARAUJO,1983,,2025-02-25,2025-03-07,2025-02-25 00:00:00
ATESTADO MEDICO,96398282116,PATRICIA ROCHA,0103,0451,2025-04-15,2025-04-21,2025-04-15 00:00:00
ATESTADO MEDICO,80251835642,MATHEUS DIAS,0102,,2023-12-08,2023-12-11,2023-12-08 00:00:00
ATESTADO MEDICO,43758031427,VANESSA PIRES,2980,0981,2023-04-04,2023-04-09,2023-04-02 00:00:00
DECLARACAO,27794880343,RICARDO REZENDE,0053,,2024-09-17,2024-09-21,2024-09-17 00:00:00
ATESTADO MEDICO,89656264479,VIVIANE MONTEIRO,2982,0051,2025-11-22,2025-11-30,2025-11-22 00:00:00
DECLARACAO,54046215402,ANDREIA CUNHA,0452,,2025-01-27,2025-01-30,2025-01-26 00:00:00
DECLARACAO,87226199416,GABRIEL MARTINS,0052,0002,2024-11-16,2024-11-18,2024-11-16 00:00:00
DECLARACAO,82253522970,DIEGO BARBOSA,0002,0101,2024-04-07,2024-04-12,2024-04-06 00:00:00
ATESTADO MEDICO,81834242959,CAMILA GOMES,0051,0451,2024-10-08,2024-10-15,2024-10-06 00:00:00
ATESTADO MEDICO,94956953763,BRUNO RIBEIRO,0101,0002,2024-01-11,2024-01-17,2024-01-10 00:00:00
ATESTADO MEDICO,43545525074,CARLA FONSECA,0004,0002,2023-11-20,2023-11-25,2023-11-20 00:00:00
ATESTADO MEDICO,77826103118,MAURICIO LIMA,1983,0261,2026-03-31,2026-04-03,2026-03-30 00:00:00
ATESTADO MEDICO,01432820427,FLAVIA MIRANDA,0052,1981,2023-03-21,2023-03-26,2023-03-19 00:00:00
DECLARACAO,89987146201,EVANDRO COSTA,0450,,2023-08-29,2023-09-07,2023-08-29 00:00:00
DECLARACAO,61044572078,ALINE MORAES,0050,2981,2026-08-09,2026-08-13,2026-08-07 00:00:00
DECLARACAO,46993508281,WILLIAN CASTRO,2983,1981,2024-09-01,2024-09-11,2024-08-31 00:00:00
ATESTADO MEDICO,30784046093,BIANCA MONTEIRO,0982,0261,2024-10-10,2024-10-17,2024-10-10 00:00:00
ATESTADO MEDICO,13867794669,JULIA RODRIGUES,0001,,2024-03-11,2024-03-21,2024-03-10 00:00:00
DECLARACAO,77101275680,ALINE MORAES,0263,0051,2026-05-04,2026-05-13,2026-05-03 00:00:00
ATESTADO MEDICO,88815760318,PEDRO OLIVEIRA,0104,0451,2023-05-17,2023-05-26,2023-05-15 00:00:00
DECLARACAO,44904098773,BIANCA MONTEIRO,1983,2981,2025-03-05,2025-03-10,2025-03-05 00:00:00
